product_variation,quantity,list_price,price,currency_code
DCHOODIE-BLU-SM,1,,52,EUR
DCHOODIE-BLU-MD,1,,52,EUR
DCHOODIE-BLU-LG,1,,52,EUR
DCHOODIE-GRE-SM,1,,52,EUR
DCHOODIE-GRE-MD,1,,52,EUR
DCHOODIE-GRE-LG,1,,52,EUR
Chloe-EDP-50,1,,150,EUR
Dior-MDEDT-50,1,,150,EUR
NC-Inc-5pk-Brushes,1,,25,EUR
Favorit-VintageTypewriter,1,,149.99,EUR
GoPro-HS5,1,,250,EUR
Kodak-CP200,1,,10,EUR
Level-HP-Black,1,,49.99,EUR
Polaroid-Pronot600,1,,99.99,EUR
Sonos-WS001,1,,349.99,EUR
Fawkestrooper-36x24,1,,50,EUR
Flowers-001,1,,41,EUR
FoggyForest-24x36,1,,41,EUR
HidingGoat-24x30,1,,38,EUR
HotAirBalloon-24x36,1,,35,EUR
MoonOverMountains-24x36,1,,35,EUR
NightCity-24x36,1,,50,EUR
Palms-24x36,1,,62,EUR
Seagulls-36x24,1,,42,EUR
Splatter-24x36,1,,27,EUR
Basics-AlarmClock-1,1,,15,EUR
GH-CampingMug-001,1,,20,EUR
HC-FuelMug-1,1,,20,EUR
HC-EatWellCup-1,1,,20,EUR
Jrink-Green1,1,,10,EUR
MF-PinkPot-001,1,,39,EUR
MF-TeardropVase-001,1,,49.99,EUR
MF-WhiteWoodChair-001,1,,249.99,EUR
PC-WriteIdeas-NB-001,1,,15,EUR
PT-Classic36-001,1,,12.99,EUR
PT-GiganticFlamingo-001,1,,49.99,EUR
PT-ClocheVase-001,1,,35.99,EUR
WoodCo-BBS-001,1,,99.99,EUR
WoodCo-BlueBowl-001,1,,24.99,EUR
HerschelSupply-MB-RedBlue,1,,99,EUR
MM-GoldRim-001,1,,14.99,EUR
MVMT-WhBr-001,1,,99.99,EUR
NYT-CocoaFedora-001,1,,35,EUR
Vinta-BP-001,1,,64.99,EUR
Hers-PlBP-001,1,,29.99,EUR
Hers-RCG-001,1,,14.99,EUR
LAB-WatermelonTote-001,1,,25,EUR
UT-KnitHat-Green,1,,25,EUR
UT-KnitHat-MNPlum,1,,25,EUR
